15-19 Years (Male),9.7
15-19years (Female),9.7
20-24 year (male),9.2
20-24 years (Female),9.4
25-34 years (male),8.6
25-34 years (female),8.9
35-44 years(male),8.2
35-44 years (female),8.9
45-54 years (male),8.4
45-54 years (female),8.6
55-64 years (male),8.3
55-64 years (female),8.5
65+ years (male),8.9
65+ years (female),8.9
